gene_name,BP,CC,MF
ABCG5,"['GO:0030299', 'GO:0070328', 'GO:0010212', 'GO:0042632', 'GO:0015918', 'GO:0007584', 'GO:0033344', 'GO:0055085', 'GO:0009410', 'GO:0014850', 'GO:0045796', 'GO:0010949']","['GO:0016324', 'GO:0043235', 'GO:0005886', 'GO:0043190']","['GO:0046982', 'GO:0005524', 'GO:0120020', 'GO:0042626', 'GO:0016887', 'GO:0046872', 'GO:0140359']"
ABCG8,"['GO:0030299', 'GO:0070328', 'GO:0042632', 'GO:0015918', 'GO:0007584', 'GO:0033344', 'GO:0055085', 'GO:0009410', 'GO:0014850', 'GO:0015914', 'GO:0045796', 'GO:0010949']","['GO:0016324', 'GO:0043235', 'GO:0005886', 'GO:0043190']","['GO:0046982', 'GO:0005524', 'GO:0120020', 'GO:0042626', 'GO:0016887', 'GO:0046872', 'GO:0140359']"
ACAA1,"['GO:0006635', 'GO:0000038', 'GO:0008206', 'GO:0036109', 'GO:0010124', 'GO:0033540']","['GO:0016020', 'GO:0035580', 'GO:0005576', 'GO:0005829', 'GO:0005782', 'GO:0005777']","['GO:0003988', 'GO:0050633', 'GO:0003985', 'GO:0008775', 'GO:0120524']"
ACAA2,"['GO:0006635', 'GO:0006695', 'GO:0071456', 'GO:1902109', 'GO:1901029']","['GO:0005739', 'GO:0005759', 'GO:0016604', 'GO:0036064']","['GO:0003988', 'GO:0003986', 'GO:0047617', 'GO:0003985', 'GO:0003723']"
ACACA,"['GO:0051289', 'GO:0006084', 'GO:0001894', 'GO:0046949', 'GO:2001295', 'GO:0055088', 'GO:0071380', 'GO:0006633']","['GO:0015629', 'GO:0005739', 'GO:0001650', 'GO:0005829']","['GO:0042802', 'GO:0003989', 'GO:0046872', 'GO:0005524']"
ACACB,"['GO:0097009', 'GO:0090461', 'GO:0072350', 'GO:0055089', 'GO:0007584', 'GO:0061771', 'GO:0009410', 'GO:0019395', 'GO:0010884', 'GO:0006098', 'GO:0060421', 'GO:1903242', 'GO:0006633', 'GO:0051289', 'GO:0031999', 'GO:0006084', 'GO:0010906', 'GO:2001295']","['GO:0005829', 'GO:0005634', 'GO:0005739', 'GO:0005741', 'GO:0016507']","['GO:0005524', 'GO:0003989', 'GO:0042802', 'GO:0046872', 'GO:0009374']"
ACAT1,"['GO:0015936', 'GO:0006085', 'GO:0042632', 'GO:0042594', 'GO:0033344', 'GO:0042986', 'GO:0034383', 'GO:0009725', 'GO:0072229', 'GO:0001889', 'GO:1902224', 'GO:0008203', 'GO:0010742', 'GO:0006635', 'GO:0006550', 'GO:0010878', 'GO:0060612', 'GO:0046952', 'GO:0034379', 'GO:1902860', 'GO:0046356', 'GO:0015937']","['GO:0005759', 'GO:0070062', 'GO:0005739', 'GO:0005789', 'GO:0016020', 'GO:0005783']","['GO:0030955', 'GO:0034736', 'GO:0004772', 'GO:0000062', 'GO:0019899', 'GO:0120225', 'GO:0015485', 'GO:0042802', 'GO:0016453', 'GO:0003985']"
ACAT2,"['GO:0030299', 'GO:0042632', 'GO:0033344', 'GO:0006631', 'GO:0010142', 'GO:0034383', 'GO:0045797', 'GO:0008203', 'GO:0010742', 'GO:0010878', 'GO:0006629', 'GO:0034379']","['GO:0005829', 'GO:0070062', 'GO:0005737', 'GO:0005903', 'GO:0005789', 'GO:0005783']","['GO:0034736', 'GO:0016746', 'GO:0004772', 'GO:0000062', 'GO:0015485', 'GO:0003985']"
ACE,"['GO:0003084', 'GO:0048167', 'GO:0007283', 'GO:0001974', 'GO:0060218', 'GO:0014910', 'GO:0008217', 'GO:0002446', 'GO:0010814', 'GO:0002003', 'GO:0050482', 'GO:0019229', 'GO:0002019', 'GO:0010629', 'GO:0060177', 'GO:0032943', 'GO:0010815', 'GO:1903597', 'GO:0008584', 'GO:0042447', 'GO:0050435', 'GO:0071838', 'GO:0038166', 'GO:0060047', 'GO:0097746', 'GO:1902033', 'GO:0042445', 'GO:0001822', 'GO:0002474', 'GO:0086091', 'GO:0003081', 'GO:0043171', 'GO:0006508', 'GO:0010608']","['GO:0005768', 'GO:0005576', 'GO:0070062', 'GO:0005764', 'GO:0005886', 'GO:0009897']","['GO:0004175', 'GO:0008270', 'GO:0004181', 'GO:0031434', 'GO:0008241', 'GO:0005516', 'GO:0031711', 'GO:0003779', 'GO:0070573', 'GO:0004222', 'GO:0008240', 'GO:0008237', 'GO:0008238', 'GO:0051019', 'GO:0008233', 'GO:0031404']"
ACLY,"['GO:0015936', 'GO:0006085', 'GO:0110076', 'GO:0006695', 'GO:0008610', 'GO:0006107', 'GO:0006633', 'GO:0006101']","['GO:0005576', 'GO:1904813', 'GO:0005829', 'GO:0035869', 'GO:0070062', 'GO:0036064', 'GO:0097228', 'GO:0016020', 'GO:0035578', 'GO:0005654']","['GO:0005524', 'GO:0003878', 'GO:0046872']"
ACOX1,"['GO:0006636', 'GO:0016559', 'GO:0006693', 'GO:0007283', 'GO:0042632', 'GO:0033540', 'GO:0009062', 'GO:0019395', 'GO:0036109', 'GO:0006091', 'GO:0055088', 'GO:0140493', 'GO:0042759', 'GO:0000038', 'GO:0006629', 'GO:0050665']","['GO:0005829', 'GO:0005778', 'GO:0005777', 'GO:0016020', 'GO:0005782']","['GO:0030165', 'GO:0042803', 'GO:0071949', 'GO:0050660', 'GO:0005504', 'GO:0120524', 'GO:0003997']"
ACOX3,['GO:0033540'],"['GO:0016020', 'GO:0005829', 'GO:0005782', 'GO:0005777']","['GO:0050660', 'GO:0016402', 'GO:0071949', 'GO:0005504']"
ACSL1,"['GO:0043651', 'GO:0007584', 'GO:0034201', 'GO:0008610', 'GO:0035338', 'GO:0042178', 'GO:0010747', 'GO:0044539', 'GO:0001676', 'GO:0033211', 'GO:0000038', 'GO:0006633', 'GO:0120162', 'GO:0019432', 'GO:0015908']","['GO:0005739', 'GO:0005778', 'GO:0005789', 'GO:0005741', 'GO:0016020', 'GO:0005783']","['GO:0047676', 'GO:0090434', 'GO:0090433', 'GO:0005524', 'GO:0004467', 'GO:0050197', 'GO:0043539', 'GO:0070251']"
ACSL3,"['GO:0006631', 'GO:0030182', 'GO:0035338', 'GO:0051047', 'GO:0044539', 'GO:0035336', 'GO:0042998', 'GO:0001676', 'GO:2001247', 'GO:0034379']","['GO:0005778', 'GO:0005789', 'GO:0005794', 'GO:0005741', 'GO:0005886', 'GO:0016020', 'GO:0048471', 'GO:0005811', 'GO:0005783']","['GO:0047676', 'GO:0090433', 'GO:0005524', 'GO:0031956', 'GO:0004467', 'GO:0019901', 'GO:0019904']"
ACSL4,"['GO:0006636', 'GO:0032307', 'GO:0008610', 'GO:0006631', 'GO:0030307', 'GO:0030182', 'GO:0035338', 'GO:0160020', 'GO:0036109', 'GO:0035336', 'GO:0001676', 'GO:0042759', 'GO:0060136', 'GO:0006629', 'GO:0032024']","['GO:0070062', 'GO:0044233', 'GO:0005737', 'GO:0005739', 'GO:0005778', 'GO:0005789', 'GO:0005741', 'GO:0005886', 'GO:0016020', 'GO:0005811', 'GO:0005783']","['GO:0047676', 'GO:0090433', 'GO:0005524', 'GO:0004467', 'GO:0031957']"
ACSS1,"['GO:0006085', 'GO:0006068', 'GO:0019413', 'GO:0019542']","['GO:0005739', 'GO:0005759']","['GO:0005524', 'GO:0003987', 'GO:0050218', 'GO:0016208']"
ACSS2,"['GO:0007616', 'GO:0006085', 'GO:0008610', 'GO:0006068', 'GO:0019413', 'GO:0019542']","['GO:0005759', 'GO:0005737', 'GO:0005829', 'GO:0005634']","['GO:0050218', 'GO:0003713', 'GO:0005524', 'GO:0003682', 'GO:0003987', 'GO:0016208']"
ACTB,"['GO:0030071', 'GO:0071896', 'GO:0051621', 'GO:0045597', 'GO:0006357', 'GO:1902459', 'GO:0006338', 'GO:0021762', 'GO:0070527', 'GO:0007163', 'GO:0034333', 'GO:2000045', 'GO:0007010', 'GO:0035633', 'GO:1903076', 'GO:0048870', 'GO:0001738', 'GO:2000819', 'GO:1905168', 'GO:0042981', 'GO:0051726', 'GO:0051623', 'GO:0045893', 'GO:0045596', 'GO:0150111', 'GO:1900242', 'GO:0045663', 'GO:0045582', 'GO:2000779', 'GO:0070316', 'GO:0007409', 'GO:2000781', 'GO:0008284', 'GO:0045176', 'GO:0072749']","['GO:0030424', 'GO:0070160', 'GO:0097433', 'GO:0016514', 'GO:0005912', 'GO:0005886', 'GO:0016586', 'GO:0070062', 'GO:0035267', 'GO:0000785', 'GO:0043296', 'GO:0005634', 'GO:0098793', 'GO:0005925', 'GO:0030027', 'GO:0045202', 'GO:0032991', 'GO:1990904', 'GO:0031982', 'GO:0005884', 'GO:0000786', 'GO:0098871', 'GO:0072562', 'GO:0016020', 'GO:0035060', 'GO:0005856', 'GO:0098978', 'GO:0005911', 'GO:0005829', 'GO:0000776', 'GO:0005737', 'GO:0005903', 'GO:0071564', 'GO:0005654', 'GO:0098685', 'GO:0015629', 'GO:0016363', 'GO:0044305', 'GO:0030863', 'GO:0036464', 'GO:0071565']","['GO:0030235', 'GO:0098973', 'GO:0019894', 'GO:0048156', 'GO:0030957', 'GO:0005524', 'GO:0019901', 'GO:0016887', 'GO:0141108', 'GO:0050998', 'GO:0042802', 'GO:0005200']"
ACVR1C,"['GO:0002021', 'GO:0009749', 'GO:1901383', 'GO:0071363', 'GO:1901164', 'GO:0030154', 'GO:0046676', 'GO:0097190', 'GO:0038092', 'GO:0030073', 'GO:0043065', 'GO:0032924', 'GO:0019915', 'GO:0030262', 'GO:0032868', 'GO:0006468', 'GO:0001834', 'GO:0007399']","['GO:0005886', 'GO:0048179']","['GO:0005524', 'GO:0004674', 'GO:0046872', 'GO:0016361', 'GO:0017002', 'GO:0038100', 'GO:0019838']"
ADAM10,"['GO:0051089', 'GO:0001701', 'GO:0010820', 'GO:0140249', 'GO:0022617', 'GO:0042987', 'GO:0016485', 'GO:0098696', 'GO:0034332', 'GO:0032760', 'GO:1903265', 'GO:0034612', 'GO:0030307', 'GO:1901342', 'GO:0007229', 'GO:0010629', 'GO:0007173', 'GO:0007219', 'GO:0008284', 'GO:0038004', 'GO:0006509', 'GO:0007162', 'GO:0090102', 'GO:0099173', 'GO:0046931', 'GO:0030335', 'GO:0008593', 'GO:0042117', 'GO:0007267', 'GO:0099175']","['GO:0014069', 'GO:0009986', 'GO:0030424', 'GO:0070821', 'GO:0070062', 'GO:0035579', 'GO:0046930', 'GO:0030136', 'GO:0005798', 'GO:0097038', 'GO:0097060', 'GO:0097197', 'GO:0005794', 'GO:0000139', 'GO:0005912', 'GO:0005886', 'GO:0016020', 'GO:0005788', 'GO:0030425', 'GO:0005925', 'GO:0098978']","['GO:0004175', 'GO:0005178', 'GO:0017124', 'GO:0042803', 'GO:0070573', 'GO:0004222', 'GO:0046872', 'GO:0008237', 'GO:1902945']"
ADCY9,"['GO:0001701', 'GO:0006171', 'GO:0035556', 'GO:0003091', 'GO:0007189', 'GO:0007165', 'GO:0097700', 'GO:0071880', 'GO:0071377']","['GO:0005929', 'GO:0030424', 'GO:0005829', 'GO:0036064', 'GO:0005886', 'GO:0016020', 'GO:0030425']","['GO:0005524', 'GO:0046872', 'GO:0004016']"
ADIPOQ,"['GO:0070994', 'GO:0071639', 'GO:0034115', 'GO:0010642', 'GO:0030336', 'GO:0045471', 'GO:0050805', 'GO:0001666', 'GO:0010875', 'GO:0050765', 'GO:0120162', 'GO:1904706', 'GO:0071320', 'GO:0141163', 'GO:0009749', 'GO:0048261', 'GO:0007584', 'GO:0034612', 'GO:0046888', 'GO:0019395', 'GO:0045923', 'GO:0070373', 'GO:2000584', 'GO:2000467', 'GO:0043124', 'GO:0050873', 'GO:0006091', 'GO:0032757', 'GO:0120163', 'GO:0042593', 'GO:0010804', 'GO:0071872', 'GO:1904753', 'GO:0046326', 'GO:0010906', 'GO:0060621', 'GO:0043407', 'GO:0014823', 'GO:0010467', 'GO:0045721', 'GO:0071466', 'GO:0043123', 'GO:0030853', 'GO:0007623', 'GO:0009967', 'GO:0045776', 'GO:0051384', 'GO:0045650', 'GO:0045892', 'GO:0032720', 'GO:0070543', 'GO:0034383', 'GO:0006006', 'GO:0050728', 'GO:0009744', 'GO:0032869', 'GO:0045599', 'GO:0033034', 'GO:0033211', 'GO:0010745', 'GO:2000590', 'GO:0006635', 'GO:0009617', 'GO:2000534']","['GO:0031012', 'GO:0005783', 'GO:0005576', 'GO:0009986', 'GO:0005581']","['GO:0005102', 'GO:0033691', 'GO:0042803', 'GO:0005125', 'GO:0043539', 'GO:0005179']"
ADRB2,"['GO:0007188', 'GO:0141163', 'GO:0030501', 'GO:0106134', 'GO:0009409', 'GO:0045744', 'GO:0071881', 'GO:0098990', 'GO:1904504', 'GO:0045453', 'GO:0008333', 'GO:0040015', 'GO:0050873', 'GO:1904646', 'GO:0061885', 'GO:0071880', 'GO:0006939', 'GO:0006366', 'GO:0043410', 'GO:0071875', 'GO:0002024', 'GO:0045944', 'GO:0010666', 'GO:0002025', 'GO:1990911', 'GO:0010667', 'GO:1901098', 'GO:0007166', 'GO:0045986', 'GO:0120162', 'GO:0002028', 'GO:0006898']","['GO:0005768', 'GO:0005929', 'GO:0015630', 'GO:0072686', 'GO:0045171', 'GO:0010008', 'GO:0030669', 'GO:0005764', 'GO:0005634', 'GO:0036064', 'GO:0016324', 'GO:0043235', 'GO:0005794', 'GO:0005886', 'GO:0016020', 'GO:0005769', 'GO:0098992']","['GO:0008179', 'GO:0051380', 'GO:0015459', 'GO:0044877', 'GO:0004941', 'GO:0042803', 'GO:0001540', 'GO:0042802']"
AGT,"['GO:0010744', 'GO:0001974', 'GO:0038060', 'GO:0051897', 'GO:0042127', 'GO:0008217', 'GO:0050729', 'GO:0001558', 'GO:0002034', 'GO:0043407', 'GO:0090190', 'GO:0007199', 'GO:1903598', 'GO:0035813', 'GO:2000379', 'GO:0010613', 'GO:0001819', 'GO:0002016', 'GO:0019229', 'GO:0051387', 'GO:0002019', 'GO:1990776', 'GO:0042310', 'GO:1903779', 'GO:0014873', 'GO:0038166', 'GO:0007200', 'GO:1901203', 'GO:2001238', 'GO:0001822', 'GO:0048146', 'GO:0034374', 'GO:0007186', 'GO:0007267', 'GO:0042981', 'GO:1901201', 'GO:0090205', 'GO:0010595', 'GO:0045742', 'GO:0010718', 'GO:1902895', 'GO:0002018', 'GO:0045893', 'GO:0003014']","['GO:0005576', 'GO:0070062', 'GO:0031012', 'GO:0072562']","['GO:0031703', 'GO:0031702', 'GO:0004867', 'GO:0008083', 'GO:0005179']"
AKT1,"['GO:0035924', 'GO:1905552', 'GO:0032079', 'GO:0031929', 'GO:0045600', 'GO:0010765', 'GO:0048661', 'GO:0043161', 'GO:0007165', 'GO:0003376', 'GO:0097700', 'GO:0046622', 'GO:0043491', 'GO:0035655', 'GO:0010975', 'GO:0031295', 'GO:0046777', 'GO:0005979', 'GO:0006468', 'GO:0006809', 'GO:0001938', 'GO:0010628', 'GO:1903898', 'GO:0060644', 'GO:0060416', 'GO:1903318', 'GO:0097194', 'GO:0001893', 'GO:0030307', 'GO:1903038', 'GO:0035556', 'GO:0043276', 'GO:0008637', 'GO:0007173', 'GO:0032287', 'GO:1905786', 'GO:1900087', 'GO:0048009', 'GO:1903078', 'GO:0045861', 'GO:1901796', 'GO:0042593', 'GO:0006417', 'GO:0005978', 'GO:0110002', 'GO:0030335', 'GO:0046326', 'GO:0010507', 'GO:0010907', 'GO:0045725', 'GO:0034405', 'GO:0099175', 'GO:0045429', 'GO:1990090', 'GO:0043536', 'GO:1904263', 'GO:0033138', 'GO:0051247', 'GO:0008283', 'GO:0031663', 'GO:0002430', 'GO:0036294', 'GO:0019221', 'GO:0072656', 'GO:1904515', 'GO:0032094', 'GO:0071364', 'GO:0006924', 'GO:0160213', 'GO:0140052', 'GO:0043066', 'GO:0071356', 'GO:1902018', 'GO:0031641', 'GO:0010467', 'GO:0046209', 'GO:0150033', 'GO:1990418', 'GO:0032436', 'GO:0018107', 'GO:0006954', 'GO:0006979', 'GO:0016567', 'GO:0001649', 'GO:0090201', 'GO:2000074', 'GO:0010761', 'GO:0071380', 'GO:1900182', 'GO:0043488', 'GO:0006606', 'GO:0097011', 'GO:0051146', 'GO:0008286', 'GO:0031999', 'GO:0042981', 'GO:0010595', 'GO:0002042', 'GO:0048266', 'GO:2000010', 'GO:0072752', 'GO:0010748', 'GO:0009408', 'GO:0031397', 'GO:0033554', 'GO:0060079', 'GO:0030154', 'GO:0060716', 'GO:0006006', 'GO:2000402', 'GO:0032869', 'GO:0160049', 'GO:2001240', 'GO:1901653', 'GO:1902176', 'GO:0030334', 'GO:0010763', 'GO:0016242', 'GO:0045944', 'GO:0070848', 'GO:0070141', 'GO:0007186', 'GO:1903384', 'GO:0016310', 'GO:0046889', 'GO:0045746', 'GO:0018105']","['GO:0036064', 'GO:0005886', 'GO:0097229', 'GO:0005938', 'GO:0005758', 'GO:0005634', 'GO:0030027', 'GO:0032991', 'GO:0033011', 'GO:0031982', 'GO:0015630', 'GO:0097228', 'GO:0016020', 'GO:0005819', 'GO:0120238', 'GO:0098978', 'GO:0005929', 'GO:0005911', 'GO:0005829', 'GO:0005737', 'GO:0005739', 'GO:0098794', 'GO:0005654']","['GO:0004672', 'GO:0019900', 'GO:0030235', 'GO:0019899', 'GO:0071889', 'GO:0099104', 'GO:0004674', 'GO:0106310', 'GO:0005524', 'GO:0042803', 'GO:0019901', 'GO:1904841', 'GO:0005516', 'GO:0016301', 'GO:0042802', 'GO:0004712', 'GO:0043325', 'GO:0030291', 'GO:0005547']"
AKT2,"['GO:0043536', 'GO:0090314', 'GO:0050821', 'GO:2000147', 'GO:0043066', 'GO:0035556', 'GO:0071486', 'GO:0006006', 'GO:0032287', 'GO:0032000', 'GO:0072659', 'GO:0032869', 'GO:0045444', 'GO:0007165', 'GO:0030334', 'GO:0005978', 'GO:0036211', 'GO:0030335', 'GO:0008286', 'GO:0046326', 'GO:0051726', 'GO:0010907', 'GO:0045725', 'GO:0010748', 'GO:1903676', 'GO:1903898', 'GO:0060644']","['GO:0005829', 'GO:0032587', 'GO:0005737', 'GO:0005634', 'GO:0005886', 'GO:0005654', 'GO:0005769', 'GO:0005938']","['GO:0106310', 'GO:0140677', 'GO:0005524', 'GO:0004674', 'GO:0046872']"
ALAD,"['GO:0033197', 'GO:0043200', 'GO:0010044', 'GO:0046686', 'GO:0071284', 'GO:0010212', 'GO:0006783', 'GO:0006785', 'GO:0010269', 'GO:0009410', 'GO:0014823', 'GO:0070542', 'GO:0045471', 'GO:0070541', 'GO:0071353', 'GO:0006784', 'GO:0046685', 'GO:0006979', 'GO:0010043', 'GO:0051260', 'GO:0032025', 'GO:0001666', 'GO:0009635', 'GO:0006782', 'GO:0046689', 'GO:0010266', 'GO:0010039', 'GO:1901799', 'GO:0051597', 'GO:0051384', 'GO:0032496']","['GO:0005576', 'GO:1904813', 'GO:0005829', 'GO:0070062', 'GO:0034774', 'GO:0005634']","['GO:0008270', 'GO:0003824', 'GO:0004655', 'GO:0042802', 'GO:1904854']"
ALB,"['GO:0090162', 'GO:0051902', 'GO:0015723', 'GO:0060271', 'GO:0043297', 'GO:0072732', 'GO:0009267', 'GO:0031667']","['GO:0032991', 'GO:0005813', 'GO:0005929', 'GO:0005576', 'GO:0005829', 'GO:0035869', 'GO:0070062', 'GO:0005634', 'GO:0036064', 'GO:0031093', 'GO:0072562', 'GO:0097539', 'GO:0005794', 'GO:0005814', 'GO:0005788', 'GO:0070161', 'GO:0000922', 'GO:0005783']","['GO:0140272', 'GO:0015643', 'GO:0140104', 'GO:1903981', 'GO:0005504', 'GO:0003677', 'GO:0016209', 'GO:0042802', 'GO:0005507', 'GO:0030170', 'GO:0051087']"
AMFR,"['GO:0007611', 'GO:2000638', 'GO:0044314', 'GO:0090090', 'GO:0051865', 'GO:0030968', 'GO:0070936', 'GO:0038061', 'GO:0007165', 'GO:0036503', 'GO:0006511', 'GO:1904380', 'GO:0016055', 'GO:0000209']","['GO:0032991', 'GO:0044322', 'GO:0030426', 'GO:0005829', 'GO:0000151', 'GO:0005789', 'GO:0005794', 'GO:0016020', 'GO:0030425', 'GO:0048471', 'GO:0043025', 'GO:0036513', 'GO:0005783']","['GO:0034450', 'GO:0008270', 'GO:0038023', 'GO:0043130', 'GO:0061630', 'GO:0030674', 'GO:1904288', 'GO:1990381', 'GO:0042802', 'GO:0004842', 'GO:0051087']"
ANGPTL3,"['GO:0070328', 'GO:0042632', 'GO:0090318', 'GO:0055091', 'GO:0006631', 'GO:0007229', 'GO:0048844', 'GO:0001525', 'GO:0009725', 'GO:0007165', 'GO:0009395', 'GO:0019915', 'GO:0045766', 'GO:0008203', 'GO:0006071', 'GO:0030335', 'GO:0006644', 'GO:0010903', 'GO:0007160', 'GO:0050996', 'GO:0055090', 'GO:0055088']","['GO:0005576', 'GO:0009986', 'GO:0005794', 'GO:0005769', 'GO:0030027']","['GO:0055102', 'GO:0008201', 'GO:0004857', 'GO:0005178', 'GO:0004859', 'GO:0008083', 'GO:0035473']"
